# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CHRD	ENSG00000090539	ENST00000310236	protein_coding	0	1	0	45	0	0	0	0	0	0	0	23	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21
CHRD	ENSG00000090539	ENST00000348986	protein_coding	0	6	4	71	0	0	0	0	0	0	0	23	0	0	29	4	0	0	0	0	0	0	0	0	0	0	0	0	6	19
CHRD	ENSG00000090539	ENST00000356534	nonsense_mediated_decay	0	1	0	52	4	0	0	0	0	0	0	19	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21
CHRD	ENSG00000090539	ENST00000420973	nonsense_mediated_decay	0	4	2	78	6	0	0	0	0	0	0	23	0	0	28	2	0	0	0	0	0	0	1	0	0	0	0	0	3	21
CHRD	ENSG00000090539	ENST00000448472	nonsense_mediated_decay	0	2	0	82	10	0	0	0	0	0	0	23	0	0	28	0	0	0	0	0	0	0	1	0	0	0	0	0	1	21
CHRD	ENSG00000090539	ENST00000450923	protein_coding	0	6	5	72	0	0	0	0	0	0	0	23	0	0	28	5	0	0	0	0	0	0	1	0	0	0	0	0	6	21
CHRD	ENSG00000090539	ENST00000459711	retained_intron	0	0	0	46	0	0	0	0	0	0	0	19	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	20
CHRD	ENSG00000090539	ENST00000460627	retained_intron	0	1	0	82	0	0	0	0	0	0	0	23	0	0	22	0	17	0	0	0	0	0	1	0	0	0	0	0	0	21
CHRD	ENSG00000090539	ENST00000461120	retained_intron	0	0	0	42	0	0	0	0	0	0	0	19	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	17
CHRD	ENSG00000090539	ENST00000461684	retained_intron	0	0	0	45	0	0	0	0	0	0	0	20	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	19
CHRD	ENSG00000090539	ENST00000464833	retained_intron	0	0	0	54	0	0	0	0	0	0	0	23	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	23
CHRD	ENSG00000090539	ENST00000470150	retained_intron	0	1	0	86	0	0	0	0	0	0	0	27	0	0	27	0	14	0	0	0	0	0	1	0	0	0	0	0	0	19
CHRD	ENSG00000090539	ENST00000482014	retained_intron	0	0	0	43	0	0	0	0	0	0	0	18	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	18
CHRD	ENSG00000090539	ENST00000482805	processed_transcript	0	0	0	45	0	0	0	0	0	0	0	20	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	19
CHRD	ENSG00000090539	ENST00000485883	retained_intron	0	0	0	47	0	0	0	0	0	0	0	20	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	20
CHRD	ENSG00000090539	ENST00000486066	retained_intron	0	0	0	44	0	0	0	0	0	0	0	19	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	19
CHRD	ENSG00000090539	ENST00000496527	retained_intron	0	0	0	45	0	0	0	0	0	0	0	24	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	19
CHRD	ENSG00000090539	ENST00000545352	protein_coding	0	4	3	64	0	1	2	0	0	0	0	23	0	0	21	3	0	0	0	0	0	0	1	0	0	0	0	0	3	18
CHST13	ENSG00000180767	ENST00000319340	protein_coding	0	3	4	197	4	0	0	0	0	0	0	28	0	0	132	4	0	0	0	0	0	0	0	0	0	0	0	0	3	33
CHST2	ENSG00000175040	ENST00000309575	protein_coding	0	2	4	62	1	2	6	0	0	0	0	28	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	27
CIDEC	ENSG00000187288	ENST00000336832	protein_coding	0	3	4	119	10	0	1	0	0	0	0	33	0	0	50	4	0	0	0	0	0	0	0	0	0	0	0	0	3	25
CIDEC	ENSG00000187288	ENST00000383817	protein_coding	0	2	5	119	10	0	1	0	0	0	0	33	0	0	50	5	0	0	0	0	0	0	0	0	0	0	0	0	2	25
CIDEC	ENSG00000187288	ENST00000423850	protein_coding	0	2	1	132	10	1	1	0	0	0	0	33	0	0	61	1	0	0	0	0	0	0	0	0	0	0	0	0	1	27
CIDEC	ENSG00000187288	ENST00000430427	protein_coding	0	3	5	116	3	0	0	0	0	0	0	39	0	0	47	5	0	0	0	0	0	0	0	0	0	0	0	0	3	27
CIDEC	ENSG00000187288	ENST00000443115	protein_coding	0	3	5	117	2	0	0	0	0	0	0	40	0	0	48	5	0	0	0	0	0	0	1	0	0	0	0	0	2	27
CIDEC	ENSG00000187288	ENST00000455015	protein_coding	0	2	1	124	10	1	2	0	0	0	0	33	0	0	54	1	0	0	0	0	0	0	0	0	0	0	0	0	1	25
CIDEC	ENSG00000187288	ENST00000487454	retained_intron	0	0	0	67	0	0	0	0	0	0	0	29	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	27
CIDECP	ENSG00000186162	ENST00000335507	processed_transcript	0	0	0	117	0	0	0	0	0	0	0	30	0	0	51	0	7	0	0	0	0	0	0	0	0	0	0	0	0	29
CIDECP	ENSG00000186162	ENST00000424471	processed_transcript	0	0	0	102	0	0	0	0	0	0	0	30	0	0	34	0	10	0	0	0	0	0	0	0	0	0	0	0	0	28
CIDECP	ENSG00000186162	ENST00000424691	processed_transcript	0	0	0	105	0	0	0	0	0	0	0	29	0	0	34	0	12	0	0	0	0	0	0	0	0	0	0	0	0	30
CIDECP	ENSG00000186162	ENST00000432401	processed_transcript	0	1	0	117	0	0	0	0	0	0	0	28	0	0	51	0	11	0	0	0	0	0	1	0	0	0	0	0	0	28
CIDECP	ENSG00000186162	ENST00000433871	transcribed_unprocessed_pseudogene	0	0	0	85	0	0	0	0	0	0	0	29	0	0	24	0	9	0	0	0	0	0	0	0	0	0	0	0	0	23
CIDECP	ENSG00000186162	ENST00000445082	processed_transcript	0	0	0	68	0	0	0	0	0	0	0	24	0	0	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0	26
CISH	ENSG00000114737	ENST00000348721	protein_coding	0	3	1	43	5	0	0	0	0	0	0	15	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	3	11
CISH	ENSG00000114737	ENST00000443053	protein_coding	0	3	1	43	5	0	1	0	0	0	0	15	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	3	11
CISH	ENSG00000114737	ENST00000491847	retained_intron	0	0	0	47	0	0	0	0	0	0	0	15	0	0	3	0	18	0	0	0	0	0	0	0	0	0	0	0	0	11
CLASP2	ENSG00000163539	ENST00000307312	protein_coding	0	3	3	912	12	0	9	0	0	0	0	26	0	0	851	3	0	0	0	0	0	0	0	0	0	0	0	0	3	14
CLASP2	ENSG00000163539	ENST00000313350	protein_coding	0	2	2	193	1	0	0	0	0	0	0	24	0	0	155	2	0	0	0	0	0	0	0	0	0	0	0	0	2	13
CLASP2	ENSG00000163539	ENST00000333778	protein_coding	0	2	2	193	1	0	0	0	0	0	0	24	0	0	155	2	0	0	0	0	0	0	0	0	0	0	0	0	2	13
CLASP2	ENSG00000163539	ENST00000359576	protein_coding	0	7	7	904	12	0	1	0	0	0	0	26	0	0	851	7	0	0	0	0	0	0	0	0	0	0	0	0	7	14
CLASP2	ENSG00000163539	ENST00000399362	protein_coding	0	7	7	904	12	0	1	0	0	0	0	26	0	0	851	7	0	0	0	0	0	0	0	0	0	0	0	0	7	14
CLASP2	ENSG00000163539	ENST00000461133	protein_coding	0	5	4	685	3	0	1	0	0	0	0	30	0	0	639	4	0	0	0	0	0	0	0	0	0	0	0	0	5	12
CLASP2	ENSG00000163539	ENST00000462878	retained_intron	0	0	0	69	0	0	0	0	0	0	0	24	0	0	18	0	7	0	0	0	0	0	0	0	0	0	0	0	0	20
CLASP2	ENSG00000163539	ENST00000464961	retained_intron	0	0	0	103	0	0	0	0	0	0	0	26	0	0	16	0	36	0	0	0	0	0	0	0	0	0	0	0	0	25
CLASP2	ENSG00000163539	ENST00000467956	retained_intron	0	0	0	133	0	0	0	0	0	0	0	21	0	0	96	0	2	0	0	0	0	0	0	0	0	0	0	0	0	14
CLASP2	ENSG00000163539	ENST00000468888	protein_coding	0	7	7	903	12	0	0	0	0	0	0	26	0	0	851	7	0	0	0	0	0	0	0	0	0	0	0	0	7	14
CLASP2	ENSG00000163539	ENST00000475576	protein_coding	0	1	0	96	0	0	0	0	0	0	0	32	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15
CLASP2	ENSG00000163539	ENST00000476251	nonsense_mediated_decay	0	0	0	220	2	0	0	0	0	0	0	30	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLASP2	ENSG00000163539	ENST00000476433	processed_transcript	0	0	0	113	0	0	0	0	0	0	0	16	0	0	82	0	2	0	0	0	0	0	0	0	0	0	0	0	0	13
CLASP2	ENSG00000163539	ENST00000480013	protein_coding	0	5	4	686	7	0	3	0	0	0	0	27	0	0	639	4	0	0	0	0	0	0	0	0	0	0	0	0	5	10
CLASP2	ENSG00000163539	ENST00000480385	protein_coding	0	0	1	132	0	0	0	0	0	0	0	16	0	0	97	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19
CLASP2	ENSG00000163539	ENST00000482896	processed_transcript	0	0	0	148	0	0	0	0	0	0	0	16	0	0	120	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10
CLASP2	ENSG00000163539	ENST00000485378	protein_coding	0	2	1	153	0	0	0	0	0	0	0	20	0	0	120	1	0	0	0	0	0	0	0	0	0	0	0	0	2	13
CLASP2	ENSG00000163539	ENST00000486796	retained_intron	0	0	0	66	0	0	0	0	0	0	0	17	0	0	35	0	2	0	0	0	0	0	0	0	0	0	0	0	0	12
CLASP2	ENSG00000163539	ENST00000487200	protein_coding	0	2	2	193	1	0	0	0	0	0	0	24	0	0	155	2	0	0	0	0	0	0	0	0	0	0	0	0	2	13
CLASP2	ENSG00000163539	ENST00000487553	protein_coding	0	1	0	219	0	0	0	0	0	0	0	30	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22
CLASP2	ENSG00000163539	ENST00000491045	retained_intron	0	0	0	73	0	0	0	0	0	0	0	28	0	0	21	0	2	0	0	0	0	0	0	0	0	0	0	0	0	22
CLASP2	ENSG00000163539	ENST00000493577	retained_intron	0	0	0	47	0	0	0	0	0	0	0	20	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	24
CLASP2	ENSG00000163539	ENST00000494261	retained_intron	0	0	0	75	0	0	0	0	0	0	0	14	0	0	34	0	2	0	0	0	0	0	0	0	0	0	0	0	0	25
CLASP2	ENSG00000163539	ENST00000496954	protein_coding	0	1	1	157	0	0	2	0	0	0	0	20	0	0	124	1	0	0	0	0	0	0	0	0	0	0	0	0	1	11
CLASP2	ENSG00000163539	ENST00000498331	processed_transcript	0	0	0	133	0	0	0	0	0	0	0	18	0	0	103	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10
CLASP2	ENSG00000163539	ENST00000539981	protein_coding	0	3	5	656	14	0	0	0	0	0	0	26	0	0	603	5	0	0	0	0	0	0	0	0	0	0	0	0	3	13
CLCN2	ENSG00000114859	ENST00000265593	protein_coding	0	6	11	111	2	0	0	0	0	0	1	17	0	0	69	10	0	0	0	1	0	0	1	0	0	0	0	0	5	23
CLCN2	ENSG00000114859	ENST00000344937	protein_coding	0	6	11	111	2	0	0	0	0	0	1	17	0	0	69	10	0	0	0	1	0	0	1	0	0	0	0	0	5	23
CLCN2	ENSG00000114859	ENST00000423355	protein_coding	0	2	1	125	12	0	4	0	0	0	0	17	0	0	69	1	0	0	0	0	0	0	1	0	0	0	0	0	1	23
CLCN2	ENSG00000114859	ENST00000430397	nonsense_mediated_decay	0	1	1	103	12	0	1	0	0	0	0	17	0	0	59	1	0	0	0	0	0	0	0	0	0	0	0	0	1	14
CLCN2	ENSG00000114859	ENST00000434054	protein_coding	0	6	11	111	1	0	0	0	0	0	1	18	0	0	69	10	0	0	0	1	0	0	1	0	0	0	0	0	5	23
CLCN2	ENSG00000114859	ENST00000457512	protein_coding	0	6	11	111	1	0	0	0	0	0	1	18	0	0	69	10	0	0	0	1	0	0	1	0	0	0	0	0	5	23
CLCN2	ENSG00000114859	ENST00000465231	retained_intron	0	0	0	47	0	0	0	0	0	0	0	34	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11
CLCN2	ENSG00000114859	ENST00000475279	processed_transcript	0	0	0	56	0	0	0	0	0	0	0	33	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	14
CLCN2	ENSG00000114859	ENST00000485667	retained_intron	0	1	0	77	0	0	0	0	0	0	0	32	0	0	16	0	9	0	0	0	0	0	1	0	0	0	0	0	0	21
CLCN2	ENSG00000114859	ENST00000491162	retained_intron	0	0	0	72	0	0	0	0	0	0	0	35	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	29
CLDN1	ENSG00000163347	ENST00000295522	protein_coding	0	3	1	213	18	0	2	0	0	0	0	45	0	0	98	1	0	0	0	0	0	0	0	0	0	0	0	0	3	50
CLDN1	ENSG00000163347	ENST00000490800	retained_intron	0	0	0	86	0	0	0	0	0	0	0	30	0	0	17	0	3	0	0	0	0	0	0	0	0	0	0	0	0	36
CLDN11	ENSG00000013297	ENST00000064724	protein_coding	0	0	0	121	5	0	0	0	0	0	0	21	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
CLDN11	ENSG00000013297	ENST00000451576	protein_coding	0	0	0	1561	0	0	0	0	0	0	0	20	0	0	1515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
CLDN11	ENSG00000013297	ENST00000468358	processed_transcript	0	0	0	107	0	0	0	0	0	0	0	21	0	0	60	0	1	0	0	0	0	0	0	0	0	0	0	0	0	25
CLDN11	ENSG00000013297	ENST00000471373	processed_transcript	0	0	0	453	0	0	0	0	0	0	0	25	0	0	401	0	2	0	0	0	0	0	0	0	0	0	0	0	0	25
CLDN11	ENSG00000013297	ENST00000477531	processed_transcript	0	0	0	112	0	0	0	0	0	0	0	11	0	0	74	0	2	0	0	0	0	0	0	0	0	0	0	0	0	25
CLDN11	ENSG00000013297	ENST00000480067	processed_transcript	0	1	0	1526	0	0	0	0	0	0	0	18	0	0	1490	0	7	0	0	0	0	0	1	0	0	0	0	0	0	12
CLDN11	ENSG00000013297	ENST00000486429	retained_intron	0	0	0	79	0	0	0	0	0	0	0	25	0	0	23	0	5	0	0	0	0	0	0	0	0	0	0	0	0	26
CLDN11	ENSG00000013297	ENST00000486975	protein_coding	0	0	0	2330	2	0	0	0	0	0	0	36	0	0	2266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
CLDN11	ENSG00000013297	ENST00000488989	processed_transcript	0	0	0	127	0	0	0	0	0	0	0	43	0	0	65	0	1	0	0	0	0	0	0	0	0	0	0	0	0	18
CLDN11	ENSG00000013297	ENST00000489485	processed_transcript	0	0	0	109	0	0	0	0	0	0	0	21	0	0	58	0	5	0	0	0	0	0	0	0	0	0	0	0	0	25
CLDN16	ENSG00000113946	ENST00000264734	protein_coding	1	0	4	218	13	0	0	0	0	0	0	38	1	0	123	4	0	0	0	0	0	0	0	0	0	0	0	0	0	44
CLDN16	ENSG00000113946	ENST00000456423	protein_coding	1	0	2	205	1	0	0	0	0	0	0	39	1	0	124	2	0	0	0	0	0	0	0	0	0	0	0	0	0	41
CLDN16	ENSG00000113946	ENST00000468220	processed_transcript	0	1	0	711	0	0	0	0	0	0	0	22	0	0	642	0	4	0	0	0	0	0	1	0	0	0	0	0	0	44
CLDN18	ENSG00000066405	ENST00000183605	protein_coding	0	1	3	123	16	0	1	0	0	0	0	19	0	0	70	2	0	0	0	1	0	0	0	0	0	0	0	0	1	17
CLDN18	ENSG00000066405	ENST00000343735	protein_coding	1	1	4	168	16	0	0	0	0	0	0	19	0	0	115	3	0	0	0	1	0	0	0	1	0	0	0	0	1	18
CLDN18	ENSG00000066405	ENST00000479660	nonsense_mediated_decay	0	0	1	120	13	0	0	0	0	0	0	18	0	0	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18
CLDND1	ENSG00000080822	ENST00000341181	protein_coding	0	0	2	70	2	0	1	0	0	0	0	27	0	0	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000394180	protein_coding	0	0	2	70	2	0	1	0	0	0	0	27	0	0	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000394181	protein_coding	0	0	2	70	2	0	1	0	0	0	0	27	0	0	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000394185	protein_coding	0	1	2	70	2	1	1	0	0	0	0	27	0	0	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	23
CLDND1	ENSG00000080822	ENST00000437922	protein_coding	0	0	2	70	2	0	1	0	0	0	0	27	0	0	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000502288	protein_coding	0	0	0	151	0	0	0	0	0	0	0	21	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000502299	protein_coding	0	0	2	62	0	0	0	0	0	0	0	22	0	0	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000502980	retained_intron	0	0	0	44	0	0	0	0	0	0	0	15	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000503004	protein_coding	0	1	2	67	2	1	2	0	0	0	0	27	0	0	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21
CLDND1	ENSG00000080822	ENST00000503621	protein_coding	0	1	0	62	0	0	1	0	0	0	0	21	0	0	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000503799	nonsense_mediated_decay	0	0	1	61	0	0	0	0	0	0	0	21	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000506575	protein_coding	0	1	1	40	0	1	1	0	0	0	0	15	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21
CLDND1	ENSG00000080822	ENST00000506885	protein_coding	0	1	0	61	0	0	0	0	0	0	0	27	0	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0	1	19
CLDND1	ENSG00000080822	ENST00000506927	retained_intron	0	0	0	40	0	0	0	0	0	0	0	22	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17
CLDND1	ENSG00000080822	ENST00000507411	retained_intron	0	0	0	64	0	0	0	0	0	0	0	22	0	0	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000507874	protein_coding	0	1	1	141	3	1	1	0	0	0	0	18	0	0	97	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000507944	protein_coding	0	0	1	62	0	0	1	0	0	0	0	22	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000508071	protein_coding	0	0	1	61	0	0	1	0	0	0	0	21	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000508503	processed_transcript	0	0	0	65	0	0	0	0	0	0	0	22	0	0	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	23
CLDND1	ENSG00000080822	ENST00000508659	protein_coding	0	0	1	62	0	0	0	0	0	0	0	21	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	23
CLDND1	ENSG00000080822	ENST00000508902	protein_coding	0	0	2	63	0	0	1	0	0	0	0	22	0	0	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000510541	protein_coding	0	0	1	63	0	0	1	0	0	0	0	22	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000510545	protein_coding	0	1	2	70	2	1	1	0	0	0	0	27	0	0	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	23
CLDND1	ENSG00000080822	ENST00000511081	protein_coding	0	0	1	65	0	0	0	0	0	0	0	24	0	0	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000511667	protein_coding	0	2	1	64	0	1	2	0	0	0	0	22	0	0	17	1	0	0	0	0	0	0	1	0	0	0	0	0	0	23
CLDND1	ENSG00000080822	ENST00000512147	protein_coding	0	0	1	63	0	0	1	0	0	0	0	22	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000513287	protein_coding	0	0	2	62	0	0	0	0	0	0	0	22	0	0	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	23
CLDND1	ENSG00000080822	ENST00000513452	protein_coding	0	0	2	60	0	0	0	0	0	0	0	22	0	0	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	21
CLDND1	ENSG00000080822	ENST00000513873	protein_coding	0	0	2	45	0	0	0	0	0	0	0	27	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	17
CLDND1	ENSG00000080822	ENST00000513988	retained_intron	0	0	0	54	0	0	0	0	0	0	0	18	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000514537	protein_coding	0	0	2	62	0	0	1	0	0	0	0	22	0	0	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CLDND1	ENSG00000080822	ENST00000515620	protein_coding	0	0	1	60	0	0	0	0	0	0	0	22	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	21
CLEC3B	ENSG00000163815	ENST00000296130	protein_coding	0	27	1	108	1	0	2	0	0	0	0	23	0	0	46	1	0	0	0	26	0	0	0	0	0	0	0	0	1	36
CLEC3B	ENSG00000163815	ENST00000428034	protein_coding	0	1	1	79	1	0	0	0	0	0	0	23	0	0	27	1	0	0	0	0	0	0	0	0	0	0	0	0	1	28
CLEC3B	ENSG00000163815	ENST00000490386	processed_transcript	0	0	0	207	0	0	0	0	0	0	0	23	0	0	165	0	3	0	0	0	0	0	0	0	0	0	0	0	0	16
CLRN1	ENSG00000163646	ENST00000295911	protein_coding	0	0	0	158	2	0	2	0	0	0	0	30	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
CLRN1	ENSG00000163646	ENST00000327047	protein_coding	0	2	0	331	5	1	3	0	0	0	0	31	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24
CLRN1	ENSG00000163646	ENST00000328863	protein_coding	0	2	0	323	0	0	0	0	0	0	0	30	0	0	268	0	0	0	0	0	0	0	1	0	0	0	0	0	1	26
CLRN1	ENSG00000163646	ENST00000468836	protein_coding	0	1	0	322	0	1	2	0	0	0	0	27	0	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
CLRN1	ENSG00000163646	ENST00000472224	retained_intron	0	0	0	248	0	0	0	0	0	0	0	30	0	0	191	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26
CLRN1	ENSG00000163646	ENST00000485607	protein_coding	0	0	0	148	0	0	2	0	0	0	0	27	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
CLRN1-AS1	ENSG00000239265	ENST00000465576	antisense	0	0	0	559	0	0	0	0	0	0	0	24	0	0	488	0	14	0	0	0	0	0	0	0	0	0	0	0	0	33
CLRN1-AS1	ENSG00000239265	ENST00000476886	antisense	0	0	0	1174	0	0	0	0	0	0	0	24	0	0	1112	0	13	0	0	0	0	0	0	0	0	0	0	0	0	25
CLSTN2	ENSG00000158258	ENST00000458420	protein_coding	0	8	5	3436	48	0	0	0	0	0	0	32	0	0	3325	5	0	0	0	0	0	0	0	0	0	0	0	0	8	31
CLSTN2	ENSG00000158258	ENST00000511524	retained_intron	0	0	0	3348	0	0	0	0	0	0	0	26	0	0	3282	0	9	0	0	0	0	0	0	0	0	0	0	0	0	31
CLSTN2-AS1	ENSG00000250433	ENST00000513309	antisense	1	0	0	73	0	0	0	0	0	0	0	24	0	0	4	0	13	0	0	0	0	1	0	0	0	0	0	0	0	33
CMC1	ENSG00000187118	ENST00000334841	nonsense_mediated_decay	0	1	2	360	0	0	0	0	0	0	0	19	0	0	322	2	0	0	0	0	0	0	0	0	0	0	0	0	1	19
CMC1	ENSG00000187118	ENST00000396610	retained_intron	0	0	0	268	0	0	0	0	0	0	0	19	0	0	222	0	2	0	0	0	0	0	0	0	0	0	0	0	0	25
CMC1	ENSG00000187118	ENST00000418849	protein_coding	0	1	0	309	0	0	0	0	0	0	0	19	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22
CMC1	ENSG00000187118	ENST00000423894	protein_coding	0	0	0	363	0	0	0	0	0	0	0	19	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
CMC1	ENSG00000187118	ENST00000466830	protein_coding	0	1	0	380	19	0	1	0	0	0	0	18	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18
CMC1	ENSG00000187118	ENST00000467644	processed_transcript	0	0	0	117	0	0	0	0	0	0	0	19	0	0	80	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17
CMC1	ENSG00000187118	ENST00000468330	processed_transcript	0	0	0	125	0	0	0	0	0	0	0	18	0	0	85	0	3	0	0	0	0	0	0	0	0	0	0	0	0	19
CMC1	ENSG00000187118	ENST00000469102	processed_transcript	0	0	0	46	0	0	0	0	0	0	0	19	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14
CMC1	ENSG00000187118	ENST00000477739	retained_intron	0	0	0	363	0	0	0	0	0	0	0	19	0	0	312	0	15	0	0	0	0	0	0	0	0	0	0	0	0	17
CMC1	ENSG00000187118	ENST00000482499	processed_transcript	0	0	0	45	0	0	0	0	0	0	0	19	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14
CMC1	ENSG00000187118	ENST00000495428	processed_transcript	0	0	0	138	0	0	0	0	0	0	0	19	0	0	98	0	2	0	0	0	0	0	0	0	0	0	0	0	0	19
CMSS1	ENSG00000184220	ENST00000421999	protein_coding	0	1	3	1435	0	0	0	0	0	0	0	15	0	0	1400	3	0	0	0	0	0	0	1	0	0	0	0	0	1	20
CMSS1	ENSG00000184220	ENST00000463526	protein_coding	0	0	0	1390	0	0	0	0	0	0	0	13	0	0	1357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
CMSS1	ENSG00000184220	ENST00000478909	protein_coding	0	1	3	77	0	0	0	0	0	0	0	15	0	0	45	3	0	0	0	0	0	0	1	0	0	0	0	0	1	17
